"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.654314870E-1,1.410335153E-1,-1.001971722E0,-1.628719419E-1
2.754314870E-1,1.489747614E-1,-9.848675132E-1,-1.659262776E-1
2.854314870E-1,1.575268805E-1,-9.738719463E-1,-1.744783819E-1
2.954314870E-1,1.550834179E-1,-9.384417534E-1,-1.915826052E-1
3.054317370E-1,1.184315011E-1,-8.639161587E-1,-2.270127982E-1
3.154319370E-1,5.001459271E-2,-7.619016767E-1,-2.734385431E-1
3.254319370E-1,-3.367394581E-2,-6.269004345E-1,-3.131448030E-1
3.354319370E-1,-1.051451787E-1,-4.778493345E-1,-3.339142203E-1
3.454319370E-1,-1.332449764E-1,-3.349068761E-1,-3.418554664E-1
3.554319370E-1,-1.222494096E-1,-2.121229619E-1,-3.314707577E-1
3.654319370E-1,-1.191950813E-1,-9.972374886E-2,-2.905427814E-1
3.754308460E-1,-1.546252668E-1,-3.817907767E-3,-2.325105816E-1
3.854308460E-1,-2.010510266E-1,4.932736978E-2,-1.769218445E-1
3.954308460E-1,-2.028836161E-1,2.977968007E-2,-1.372155994E-1
4.054308460E-1,-1.246928647E-1,-5.879577994E-2,-8.651378751E-2
4.154308460E-1,1.580613852E-2,-1.748601794E-1,1.916589774E-2
4.254308460E-1,1.446987092E-1,-2.707660198E-1,1.639409661E-1
4.354308460E-1,2.051743716E-1,-3.465133011E-1,2.995530367E-1
4.454308460E-1,2.204459906E-1,-4.326453209E-1,4.241695404E-1
4.554308460E-1,2.821433842E-1,-6.495024562E-1,6.025422215E-1
4.654308460E-1,3.811035454E-1,-1.089936256E0,8.420013785E-1
4.754308460E-1,4.537965059E-1,-1.852907062E0,1.127886295E0
4.891551530E-1,3.731622994E-1,-3.048981190E0,1.407051682E0
4.991551960E-1,-1.290452853E-2,-4.612796307E0,1.584813476E0
5.091551960E-1,-7.044039965E-1,-6.061157703E0,1.641623974E0
5.191551960E-1,-1.406898975E0,-6.841232777E0,1.675832391E0
5.291551960E-1,-1.705612063E0,-6.558402061E0,1.663615108E0
5.391551960E-1,-1.621923566E0,-4.884020329E0,1.600695968E0
5.491551960E-1,-1.679955840E0,-2.553569555E0,1.628184915E0
5.591552300E-1,-1.960953832E0,-6.910412908E-1,1.639791369E0
5.691552300E-1,-2.227291107E0,4.060726762E-1,1.524948716E0
5.791552300E-1,-2.391613722E0,8.611672521E-1,1.336802244E0
5.891552300E-1,-2.413604975E0,6.827946305E-1,1.176755548E0
5.991552300E-1,-2.277381897E0,1.201877370E-1,1.068632364E0
6.091551960E-1,-1.953012586E0,-5.621487498E-1,1.011821866E0
6.191551620E-1,-1.491198421E0,-1.082605958E0,1.059469461E0
6.291551620E-1,-9.670760632E-1,-1.422247052E0,1.135827541E0
6.391551620E-1,-4.637230933E-1,-1.608560920E0,1.124832034E0
6.491551620E-1,-1.741729528E-1,-1.597565293E0,1.076573610E0
6.591551620E-1,-1.595121920E-1,-1.336725831E0,1.031980515E0
6.691551620E-1,-3.189480305E-1,-9.042332768E-1,9.385181069E-1
6.791555620E-1,-4.887685478E-1,-4.387539625E-1,7.656432390E-1
6.891555620E-1,-5.700136423E-1,-5.879577994E-2,6.147595048E-1
6.991555620E-1,-5.803983212E-1,1.580613852E-1,5.408447981E-1
7.091555620E-1,-5.535202622E-1,2.295326144E-1,5.237405896E-1
7.191555620E-1,-5.590180755E-1,2.808452845E-1,5.151884556E-1
7.291555620E-1,-5.846744180E-1,3.480404615E-1,5.103015304E-1
7.391555620E-1,-5.865070224E-1,3.956879675E-1,4.986951053E-1
7.491555620E-1,-5.675701499E-1,4.647157490E-1,4.620431960E-1
7.591555620E-1,-5.394703746E-1,5.416847467E-1,4.150065780E-1
7.691555620E-1,-4.783838391E-1,5.752823353E-1,3.392592967E-1
7.791555620E-1,-3.910301030E-1,5.978843570E-1,2.378556579E-1
7.891555620E-1,-2.719113827E-1,5.972734690E-1,1.242347211E-1
7.991555280E-1,-1.149190217E-1,5.636758804E-1,6.337726954E-3
8.091555610E-1,7.322747260E-2,4.848742783E-1,-1.140027270E-1
8.191555610E-1,2.607631087E-1,3.969096839E-1,-2.502256632E-1
8.291555610E-1,4.342488348E-1,2.991712391E-1,-3.827834427E-1
8.391555610E-1,5.820782185E-1,2.167044431E-1,-5.086216927E-1
8.491555610E-1,6.999751925E-1,1.666134894E-1,-6.204100251E-1
8.591555270E-1,7.971028090E-1,1.073595658E-1,-7.181484699E-1
8.691555270E-1,8.795695901E-1,1.389718428E-2,-8.055021763E-1
8.791555270E-1,9.565386176E-1,-1.204931661E-1,-8.794168830E-1
8.891555270E-1,1.043281436E0,-2.671008408E-1,-9.380599260E-1
8.991555270E-1,1.148350358E0,-3.636175394E-1,-9.563859105E-1
9.091555270E-1,1.254029989E0,-3.678936064E-1,-9.362273216E-1
9.191555270E-1,1.321835995E0,-2.695443034E-1,-8.812494874E-1
9.291555270E-1,1.315727353E0,-1.803579628E-1,-8.006152511E-1
9.391555270E-1,1.223486781E0,-1.107193232E-1,-6.906595230E-1
9.491555270E-1,1.070770383E0,-7.162395120E-2,-5.501605272E-1
9.591555270E-1,9.204975367E-1,-6.123924255E-2,-3.876703680E-1
9.691555270E-1,8.313112259E-1,-1.339322031E-1,-2.441170216E-1
9.791555270E-1,7.769442201E-1,-1.237002108E-2,-2.209041417E-1
9.891555270E-1,6.779840589E-1,2.038762718E-1,-2.764928937E-1
9.991555270E-1,4.666246772E-1,1.721112877E-1,-3.583488166E-1
1.009155527E0,3.694971204E-1,-8.261952549E-2,-3.607922792E-1
1.019155527E0,4.165337384E-1,-3.856086731E-1,-3.644574881E-1
1.029155527E0,5.875760317E-1,-5.035057068E-1,-4.139375687E-1
1.039155527E0,7.897723913E-1,-3.397938013E-1,-4.841870666E-1
1.049155527E0,9.101128578E-1,-8.017606288E-2,-4.603633285E-1
1.059155527E0,9.681450725E-1,-1.542434748E-2,-3.717878461E-1
1.069155527E0,9.369909167E-1,-4.344778955E-1,-2.545017302E-1
1.079155527E0,7.683921456E-1,-6.940956116E-1,-1.140027270E-1
1.089155527E0,6.419430375E-1,7.437284291E-2,-1.421025246E-1
1.099155527E0,4.287510514E-1,8.013024926E-1,-2.618321180E-1
