"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.041250720E-1,-2.169335186E-1,9.210320711E-1,-8.494845033E-1
3.326965000E-1,-4.655556679E-1,-1.620320082E-1,-3.064252734E-1
3.612679280E-1,2.638174295E-1,-1.798539996E0,-1.009531140E0
3.898393560E-1,6.407212615E-1,-1.362382174E0,-1.332067966E0
4.184107840E-1,7.738898993E-1,-1.348332286E0,-1.746234655E0
4.469822120E-1,1.491656542E0,-2.404518366E0,-2.369928122E0
4.755536400E-1,9.516516924E-1,-1.168127060E0,-2.717510462E0
5.041250680E-1,2.192242593E-1,-1.326341152E0,-1.824425459E0
5.326964960E-1,-5.724570751E-1,-6.073527932E-1,-5.220606923E-1
5.612679240E-1,-1.237689376E0,-6.641632318E-1,6.569092274E-1
5.898393520E-1,-1.584049940E0,-6.934847832E-1,1.757688403E0
6.184107800E-1,-2.182086945E0,-9.152288437E-1,2.717357635E0
6.469822080E-1,-2.990872622E0,1.837177277E-1,3.025844574E0
6.755536360E-1,-2.854649544E0,8.385652900E-1,3.251864672E0
7.041250640E-1,-2.582203865E0,8.843801618E-1,4.595157623E0
7.326964920E-1,-2.475913286E0,2.704605758E-1,2.670320988E0
7.612679200E-1,-1.350699425E0,1.487915039E0,2.846250296E0
7.898393480E-1,-3.782019317E-1,1.267392635E0,1.826716185E0
8.184107760E-1,2.888629138E-1,1.442710996E0,6.520223022E-1
8.469822040E-1,1.136132956E0,1.288772941E0,-1.065730810E0
8.755536320E-1,1.909488440E0,5.526803136E-1,-1.930715919E0
9.041250600E-1,3.347465277E0,-3.848603725E0,-2.373593330E0
9.326964880E-1,2.266233683E0,-2.486985207E0,-2.605721951E0
9.612679160E-1,6.199518442E-1,1.629483104E-1,-3.397937864E-2
9.898393440E-1,-4.912120104E-1,-6.042831898E0,1.420490742E0
1.018410772E0,1.595503688E0,4.152356386E-1,-1.222112298E0
1.046982200E0,-1.888337135E-1,4.860960245E-1,-2.123520374E-1
1.075553628E0,-2.395355403E-1,-2.641992271E-2,1.175151989E-1
1.104125056E0,4.983896911E-1,-1.363603950E0,-9.588293433E-1
1.132696484E0,6.682102084E-1,-2.976440787E-1,-1.203786373E0
1.161267912E0,1.146517754E0,-2.200489283E0,-1.519603610E0
1.189839340E0,1.360320568E0,-2.027003527E0,-2.062052011E0
1.218410768E0,1.025566339E0,-1.413694859E0,-2.632600069E0
1.246982196E0,5.814673305E-1,-1.094823241E0,-2.161012173E0
1.275553624E0,-1.595885493E-2,-1.323286891E0,-1.079169869E0
